type,clock_cycle,thickness tFE,Vdd,T_RISE ,T_FALL ,T_DELAY 
ncfet_inverter,200ps,3nm,0.3,4.663217e-12,4.645382e-12,6.408877e-12
ncfet_inverter,200ps,3nm,0.4,3.822141e-12,3.806715e-12,3.453918e-12
ncfet_inverter,200ps,3nm,0.5,3.156897e-12,3.154343e-12,2.165301e-12
ncfet_inverter,200ps,3nm,0.6,3.125273e-12,3.149878e-12,1.661745e-12
ncfet_inverter,200ps,3nm,0.7,3.660494e-12,3.666044e-12,1.459429e-12
ncfet_inverter,200ps,3nm,0.8,4.396578e-12,4.414631e-12,1.375513e-12
ncfet_inverter,200ps,3nm,0.9,5.095929e-12,5.105267e-12,1.341819e-12
ncfet_inverter,200ps,400nm,0.3,6.676023e-12,6.879562e-12,1.008358e-11
ncfet_inverter,200ps,400nm,0.4,7.065467e-12,7.618487e-12,1.018585e-11
ncfet_inverter,200ps,400nm,0.5,8.088005e-12,8.928817e-12,1.015775e-11
ncfet_inverter,200ps,400nm,0.6,8.925329e-12,1.008643e-11,1.001333e-11
ncfet_inverter,200ps,400nm,0.7,9.57547e-12,1.10592e-11,9.819555e-12
ncfet_inverter,200ps,400nm,0.8,1.007154e-11,1.177413e-11,9.630581e-12
ncfet_inverter,200ps,400nm,0.9,1.043047e-11,1.248077e-11,9.45814e-12
ncfet_inverter,200ps,40nm,0.3,5.169306e-12,5.149163e-12,6.717615e-12
ncfet_inverter,200ps,40nm,0.4,4.210788e-12,4.244507e-12,4.064214e-12
ncfet_inverter,200ps,40nm,0.5,3.609221e-12,3.609753e-12,3.135228e-12
ncfet_inverter,200ps,40nm,0.6,3.792575e-12,3.757173e-12,2.903648e-12
ncfet_inverter,200ps,40nm,0.7,4.389274e-12,4.416278e-12,2.836244e-12
ncfet_inverter,200ps,40nm,0.8,5.136635e-12,5.174712e-12,2.804704e-12
ncfet_inverter,200ps,40nm,0.9,5.805443e-12,5.872989e-12,2.797995e-12
ncfet_inverter,200ps,4nm,0.3,4.667696e-12,4.661979e-12,6.418335e-12
ncfet_inverter,200ps,4nm,0.4,3.83496e-12,3.822439e-12,3.47189e-12
ncfet_inverter,200ps,4nm,0.5,3.190861e-12,3.180359e-12,2.193614e-12
ncfet_inverter,200ps,4nm,0.6,3.140962e-12,3.166442e-12,1.698722e-12
ncfet_inverter,200ps,4nm,0.7,3.68304e-12,3.696298e-12,1.501123e-12
ncfet_inverter,200ps,4nm,0.8,4.42198e-12,4.430654e-12,1.418976e-12
ncfet_inverter,200ps,4nm,0.9,5.104156e-12,5.129738e-12,1.385572e-12
ncfet_inverter,200ps,500nm,0.3,7.755594e-12,8.305447e-12,1.159031e-11
ncfet_inverter,200ps,500nm,0.4,8.631836e-12,9.727585e-12,1.17579e-11
ncfet_inverter,200ps,500nm,0.5,9.763428e-12,1.121677e-11,1.162326e-11
ncfet_inverter,200ps,500nm,0.6,1.052058e-11,1.236889e-11,1.137793e-11
ncfet_inverter,200ps,500nm,0.7,1.106896e-11,1.329839e-11,1.111702e-11
ncfet_inverter,200ps,500nm,0.8,1.146942e-11,1.411049e-11,1.088121e-11
ncfet_inverter,200ps,500nm,0.9,1.178144e-11,1.473988e-11,1.067652e-11
ncfet_inverter,200ps,50nm,0.3,5.255662e-12,5.234136e-12,6.796891e-12
ncfet_inverter,200ps,50nm,0.4,4.323611e-12,4.311667e-12,4.220661e-12
ncfet_inverter,200ps,50nm,0.5,3.7136e-12,3.695992e-12,3.386327e-12
ncfet_inverter,200ps,50nm,0.6,3.976586e-12,3.964016e-12,3.209589e-12
ncfet_inverter,200ps,50nm,0.7,4.590949e-12,4.649127e-12,3.160906e-12
ncfet_inverter,200ps,50nm,0.8,5.34953e-12,5.404634e-12,3.13424e-12
ncfet_inverter,200ps,50nm,0.9,6.015566e-12,6.088546e-12,3.123721e-12
ncfet_inverter,200ps,5nm,0.3,4.684569e-12,4.664669e-12,6.428092e-12
ncfet_inverter,200ps,5nm,0.4,3.837313e-12,3.837861e-12,3.489727e-12
ncfet_inverter,200ps,5nm,0.5,3.18304e-12,3.201859e-12,2.222273e-12
ncfet_inverter,200ps,5nm,0.6,3.174942e-12,3.185014e-12,1.735402e-12
ncfet_inverter,200ps,5nm,0.7,3.713145e-12,3.712628e-12,1.542404e-12
ncfet_inverter,200ps,5nm,0.8,4.441967e-12,4.465244e-12,1.460948e-12
ncfet_inverter,200ps,5nm,0.9,5.111769e-12,5.147798e-12,1.430414e-12
ncfet_inverter,200ps,600nm,0.3,9.647863e-12,1.07155e-11,1.331937e-11
ncfet_inverter,200ps,600nm,0.4,1.069969e-11,1.231692e-11,1.336731e-11
ncfet_inverter,200ps,600nm,0.5,1.169203e-11,1.380488e-11,1.309744e-11
ncfet_inverter,200ps,600nm,0.6,1.243432e-11,1.493708e-11,1.275963e-11
ncfet_inverter,200ps,600nm,0.7,1.281684e-11,1.585691e-11,1.242749e-11
ncfet_inverter,200ps,600nm,0.8,1.307724e-11,1.663537e-11,1.213753e-11
