gate_type,voltage,thickness,clock_cycle,t_rise,t_fall,t_delay
buffer,0.9,3,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,4,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,4,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,4,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,4,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,4,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,4,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,4,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,5,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,5,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,5,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,5,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,5,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,5,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,5,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,6,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,6,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,6,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,6,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,6,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,6,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,6,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,7,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,7,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,7,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,7,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,7,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,7,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,7,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,8,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,8,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,8,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,8,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,8,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,8,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,8,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,9,200,3.142875e-12,3.161678e-12,1.304758e-11
buffer,0.4,9,200,1.186242e-12,1.758587e-12,1.064054e-11
buffer,0.5,9,200,8.214058e-13,1.485044e-12,9.702536e-12
buffer,0.6,9,200,7.734549e-13,1.450625e-12,9.466227e-12
buffer,0.7,9,200,8.987654e-13,1.448322e-12,9.566651e-12
buffer,0.8,9,200,1.118797e-12,1.493823e-12,9.734947e-12
buffer,0.9,9,200,1.380174e-12,1.558282e-12,9.86096e-12
buffer,0.3,0.1,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,0.1,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,0.1,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,0.1,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,0.1,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,0.1,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,0.1,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,0.2,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,0.2,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,0.2,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,0.2,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,0.2,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,0.2,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,0.2,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,0.3,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,0.3,300,1.485681e-12,2.009167e-12,1.347828e-11
